Hour,Standard_Heat_Pump_kW,High_Efficiency_Heat_Pump_kW
1,1.0590204197412094,0.6220099227375737
2,1.002859875285232,0.7596863722064945
3,1.0113365520608957,0.7384503522269116
4,1.1585140816039552,0.6829762967070201
5,1.0799964762669951,0.7577368091296335
6,5.944839646616794,2.543750651158086
7,4.556126375983549,2.471975562063005
8,6.301127373689358,2.6011570058307263
9,5.950109549865902,2.924955363190607
10,0.9827365953352324,0.599425949733773
11,1.171495372615425,0.6156895475661346
12,0.8039543548161794,0.6441582080901895
13,0.8359688778735814,0.5450845061957243
14,1.1400801071419706,0.5926237849999714
15,0.994248423558026,0.6717956037704627
16,1.1507342367795101,0.627869251055929
17,0.9229335755460684,0.5661714942248636
18,0.9551862184645672,0.6881229016886773
19,1.0325782971763793,0.6711114833408011
20,0.8454748722063261,0.5690582508542553
21,1.1071520739196763,0.7432287108934955
22,0.9250264159212027,0.5541722051237307
23,1.058404183900914,0.791775852569637
24,0.8130795667984164,0.6830996417244881
25,0.8665582307726802,0.6644488063002025
26,0.9721212129540984,0.5282471356798907
27,0.8911225880029163,0.732855754207782
28,1.1865229864350846,0.5336757755067781
29,1.1619757634426167,0.7016881259112014
30,6.473316293418985,2.6765702062109042
31,4.896656377943276,3.008780621637611
32,4.560856897798282,2.2304725404878107
33,5.913445380799775,3.1091725298689434
34,1.0815733323015997,0.6332744536919784
35,0.8918849786727763,0.7543818109083091
36,0.9645742396546801,0.5167323739470525
37,1.1914575846341995,0.7087347035398072
38,0.9316183840280878,0.720086617563716
39,1.0382116286090595,0.5156042406306766
40,1.0143385363562885,0.6887147652558748
41,0.9844383822227544,0.655490689202165
42,0.8903198647673325,0.5710344475077075
43,1.1682211864775387,0.765340748816598
44,1.0443291367316094,0.6537164037008839
45,0.8880367686334255,0.6247182771480505
46,0.8157138399022573,0.7852992307516274
47,1.0191558310936928,0.5956765223421223
48,0.8360746868486848,0.7928424127317999
49,1.127227312020871,0.7067292748981768
50,1.0734278324698423,0.6202146769610865
51,1.1743311960809097,0.6738139896323123
52,0.8359644251742501,0.5557722361135573
53,0.805343044328773,0.6543642160830668
54,4.989576148257315,2.988587928079993
55,5.884822662394866,2.623373046655926
56,6.155624480942939,2.15318731305873
57,6.429770137656716,2.546947932184893
58,0.9021594044410298,0.6032952021765471
59,0.8955720871476647,0.5836624663057534
60,0.8426084035513385,0.6460664817409449
61,0.8729102373363933,0.7203292504139869
62,1.1571729332863727,0.7263572105735563
63,0.8238949602769016,0.6637707772162156
64,0.8663854074920916,0.5516098453931731
