Hour,Cambium_Energy_MWh,Cambium_Carbon_kg_MWh,CWFT,PCAF_Weight,Gen_Capacity_Value_MWh,Trans_Value_MWh,Dist_Value_MWh,Emissions_Value_MWh,Total_Avoided_Cost_MWh
1,25.23409338739077,435.7184288889049,0.0,0.0,0.0,0.0,0.0,13.071552866667147,38.30564625405792
2,27.1939635282525,514.0521927085031,0.0,0.0,0.0,0.0,0.0,15.421565781255094,42.61552930950759
3,27.787445579236504,527.4733983134859,0.0,0.0,0.0,0.0,0.0,15.824201949404575,43.61164752864108
4,23.150524359116673,533.7510981618831,0.0,0.0,0.0,0.0,0.0,16.012532944856492,39.16305730397316
5,24.82034301903642,487.73574803393683,0.0,0.0,0.0,0.0,0.0,14.632072441018105,39.452415460054524
6,70.87335694132324,686.2680599656094,0.0018750000000000001,0.0,187.50000000000003,0.0,0.0,20.58804179896828,278.96139874029154
7,72.438994642397,669.936540048044,0.0018750000000000001,0.0,187.50000000000003,0.0,0.0,20.09809620144132,280.0370908438383
8,71.3199331846161,385.7812496759176,0.0018750000000000001,0.0,187.50000000000003,0.0,0.0,11.573437490277527,270.3933706748937
9,83.7263529297397,491.17808214912003,0.0018750000000000001,0.01,187.50000000000003,150.0,150.0,14.7353424644736,585.9616953942133
10,23.574491554198502,583.9590583931188,0.0,0.0,0.0,0.0,0.0,17.518771751793565,41.09326330599207
11,23.951887612428713,548.3495524948303,0.0,0.0,0.0,0.0,0.0,16.45048657484491,40.40237418727362
12,28.583384765781474,421.4612672504835,0.0,0.0,0.0,0.0,0.0,12.643838017514504,41.22722278329598
13,26.04940788567693,606.9248954198863,0.0,0.0,0.0,0.0,0.0,18.207746862596586,44.25715474827352
14,23.53243281459626,474.3322555913486,0.0,0.0,0.0,0.0,0.0,14.229967667740459,37.762400482336716
15,25.553866796513397,636.5066778960597,0.0,0.0,0.0,0.0,0.0,19.095200336881792,44.64906713339519
16,22.894292770996273,559.3067021744762,0.0,0.0,0.0,0.0,0.0,16.779201065234286,39.67349383623056
17,26.39099269894249,637.9188375031284,0.0,0.0,0.0,0.0,0.0,19.13756512509385,45.52855782403634
18,25.245855735037388,537.3811964624091,0.0,0.0,0.0,0.0,0.0,16.121435893872274,41.36729162890966
19,22.627790559699342,634.5518525135026,0.0,0.0,0.0,0.0,0.0,19.036555575405075,41.66434613510442
20,25.522687764900855,456.60557749723114,0.0,0.0,0.0,0.0,0.0,13.698167324916934,39.22085508981779
21,24.117698401558716,414.83158326064665,0.0,0.0,0.0,0.0,0.0,12.4449474978194,36.56264589937812
22,23.469198226213635,612.8422235958055,0.0,0.0,0.0,0.0,0.0,18.385266707874166,41.8544649340878
23,22.922068822471896,431.2534555014071,0.0,0.0,0.0,0.0,0.0,12.937603665042213,35.85967248751411
24,25.9125210164044,598.8506591616679,0.0,0.0,0.0,0.0,0.0,17.965519774850037,43.878040791254435
25,26.42056275211924,571.6108450349451,0.0,0.0,0.0,0.0,0.0,17.148325351048353,43.568888103167595
26,25.03376666561295,491.2496068325469,0.0,0.0,0.0,0.0,0.0,14.737488204976406,39.77125487058936
27,24.22254241880836,594.9527632202976,0.0,0.0,0.0,0.0,0.0,17.848582896608928,42.07112531541729
28,23.04708030173571,502.6423097407652,0.0,0.0,0.0,0.0,0.0,15.079269292222955,38.126349593958665
29,25.020389038524904,385.02505900455327,0.0,0.0,0.0,0.0,0.0,11.550751770136598,36.571140808661504
30,66.93282142369706,532.2564152700743,0.0018750000000000001,0.0,187.50000000000003,0.0,0.0,15.967692458102228,270.4005138817993
31,78.07592805589255,558.5860955743454,0.0018750000000000001,0.01,187.50000000000003,150.0,150.0,16.757582867230365,582.3335109231228
32,72.37730479926816,415.2147603820033,0.0018750000000000001,0.0,187.50000000000003,0.0,0.0,12.456442811460098,272.33374761072827
33,75.92677238635503,420.7994414308549,0.0018750000000000001,0.0,187.50000000000003,0.0,0.0,12.623983242925647,276.05075562928073
34,25.13249686926674,506.0776281162322,0.0,0.0,0.0,0.0,0.0,15.182328843486964,40.3148257127537
35,26.00337907299547,514.7970626396436,0.0,0.0,0.0,0.0,0.0,15.44391187918931,41.44729095218478
36,24.074751753988124,496.348497134739,0.0,0.0,0.0,0.0,0.0,14.89045491404217,38.96520666803029
37,26.016289781228853,541.8470576513018,0.0,0.0,0.0,0.0,0.0,16.255411729539055,42.27170151076791
38,23.249532704420236,543.2315011404087,0.0,0.0,0.0,0.0,0.0,16.29694503421226,39.5464777386325
39,24.258898271132303,407.13864634186416,0.0,0.0,0.0,0.0,0.0,12.214159390255924,36.473057661388225
40,26.845153386176683,499.86620524596617,0.0,0.0,0.0,0.0,0.0,14.995986157378985,41.84113954355567
41,23.320629668313504,676.6414615692914,0.0,0.0,0.0,0.0,0.0,20.299243847078742,43.61987351539224
42,22.68467720702755,416.70001576165873,0.0,0.0,0.0,0.0,0.0,12.50100047284976,35.185677679877315
43,22.79632680538616,552.5976142994759,0.0,0.0,0.0,0.0,0.0,16.57792842898428,39.37425523437044
44,27.747314712965537,587.2410692299044,0.0,0.0,0.0,0.0,0.0,17.61723207689713,45.36454678986267
45,25.297190726232138,615.0757656047535,0.0,0.0,0.0,0.0,0.0,18.452272968142605,43.74946369437474
46,27.487205680222964,573.8233242967871,0.0,0.0,0.0,0.0,0.0,17.21469972890361,44.701905409126574
47,22.82171653120897,591.9908180293866,0.0,0.0,0.0,0.0,0.0,17.759724540881596,40.58144107209057
48,27.44170766976547,648.7532597850328,0.0,0.0,0.0,0.0,0.0,19.462597793550984,46.904305463316454
49,25.06474207026561,502.21552185379306,0.0,0.0,0.0,0.0,0.0,15.066465655613792,40.1312077258794
50,22.244728126901997,449.6541653334474,0.0,0.0,0.0,0.0,0.0,13.489624960003422,35.734353086905415
51,27.59481522790315,431.771076762853,0.0,0.0,0.0,0.0,0.0,12.953132302885589,40.54794753078874
52,25.762333053032556,583.6050714275206,0.0,0.0,0.0,0.0,0.0,17.50815214282562,43.27048519585817
53,25.71613644773692,606.2071386643667,0.0,0.0,0.0,0.0,0.0,18.186214159931,43.90235060766792
54,87.05942569770434,487.2354545482324,0.0018750000000000001,0.01,187.50000000000003,150.0,150.0,14.617063636446971,589.1764893341513
55,82.54772881625044,524.2137846862952,0.0018750000000000001,0.01,187.50000000000003,150.0,150.0,15.726413540588856,585.7741423568393
56,75.50784429082827,607.709751315256,0.0018750000000000001,0.0,187.50000000000003,0.0,0.0,18.23129253945768,281.239136830286
57,71.02385318485102,550.6708792365248,0.0018750000000000001,0.0,187.50000000000003,0.0,0.0,16.520126377095742,275.0439795619468
58,24.560479071707057,503.86794765756093,0.0,0.0,0.0,0.0,0.0,15.116038429726828,39.676517501433885
59,24.48285639791162,608.8465641603458,0.0,0.0,0.0,0.0,0.0,18.265396924810375,42.74825332272199
60,22.02188508037299,510.44027387978497,0.0,0.0,0.0,0.0,0.0,15.31320821639355,37.33509329676654
61,23.99317912915768,471.8851646596755,0.0,0.0,0.0,0.0,0.0,14.156554939790265,38.14973406894795
62,24.5645956627368,675.609263999431,0.0,0.0,0.0,0.0,0.0,20.26827791998293,44.83287358271973
63,29.02594415684395,515.6837224768918,0.0,0.0,0.0,0.0,0.0,15.470511674306756,44.496455831150705
64,25.310208429702232,466.64764660105106,0.0,0.0,0.0,0.0,0.0,13.999429398031532,39.309637827733766
65,24.5877730619942,658.0169154118294,0.0,0.0,0.0,0.0,0.0,19.74050746235488,44.32828052434908
66,23.740413970124465,573.4318428008419,0.0,0.0,0.0,0.0,0.0,17.202955284025258,40.94336925414972
67,22.169946689543266,499.48541311667253,0.0,0.0,0.0,0.0,0.0,14.984562393500177,37.15450908304344
68,24.811035273927715,589.9022407891721,0.0,0.0,0.0,0.0,0.0,17.697067223675162,42.50810249760288
69,21.892419237316936,436.0214595891889,0.0,0.0,0.0,0.0,0.0,13.080643787675667,34.973063024992605
70,28.526966581891717,479.5999859483092,0.0,0.0,0.0,0.0,0.0,14.387999578449277,42.914966160340995
71,28.651123841178716,556.5585930958626,0.0,0.0,0.0,0.0,0.0,16.69675779287588,45.347881634054595
72,21.0724895094367,495.34240166717615,0.0,0.0,0.0,0.0,0.0,14.860272050015285,35.93276155945198
73,21.590582874365992,633.6271283121091,0.0,0.0,0.0,0.0,0.0,19.00881384936327,40.599396723729264
74,24.321870577154364,643.5605029113408,0.0,0.0,0.0,0.0,0.0,19.306815087340226,43.62868566449459
75,27.908141181504746,722.5808192117414,0.0,0.0,0.0,0.0,0.0,21.677424576352244,49.58556575785699
76,27.11382533761894,443.19988751478536,0.0,0.0,0.0,0.0,0.0,13.29599662544356,40.4098219630625
77,27.989144353285475,458.67511824960206,0.0,0.0,0.0,0.0,0.0,13.760253547488063,41.74939790077354
78,68.89887430452193,501.8455620823752,0.0018750000000000001,0.0,187.50000000000003,0.0,0.0,15.055366862471256,271.4542411669932
79,88.30320993272794,621.4410860688055,0.0018750000000000001,0.01,187.50000000000003,150.0,150.0,18.64323258206416,594.446442514792
80,88.56105530128495,517.001984876452,0.0018750000000000001,0.01,187.50000000000003,150.0,150.0,15.51005954629356,591.5711148475785
81,78.63332609207609,573.8337274102487,0.0018750000000000001,0.01,187.50000000000003,150.0,150.0,17.215011822307464,583.3483379143836
82,25.697755175671205,530.983875327326,0.0,0.0,0.0,0.0,0.0,15.929516259819781,41.62727143549098
83,25.256577912948742,426.2874585197688,0.0,0.0,0.0,0.0,0.0,12.788623755593063,38.04520166854181
